X Y
461896.5 4509799.0
461952.8 4509449.3
462136.9 4509205.9
462689.1 4509720.3
463356.8 4509066.2
463021.9 4508034.3
462654.9 4507772.3
462287.7 4507145.2
461582.5 4506568.7
461472.6 4506016.7
461037.0 4505788.7
461116.9 4505763.5
460850.8 4505359.5
460940.0 4504781.2
460768.0 4504704.6
460426.3 4504779.3
460410.5 4504443.6
461441.1 4504215.8
462072.8 4503619.0
462046.4 4503261.6
462157.3 4503050.9
462623.4 4503104.4
462669.6 4502685.8
463157.9 4502807.8
463930.3 4502476.2
464039.0 4503585.9
464581.8 4503355.0
464899.3 4502407.4
465387.0 4502412.2
465404.7 4502295.4
465791.7 4502163.4
465792.9 4503058.3
466170.5 4504495.7
466764.9 4504692.3
467406.9 4503759.3
468049.1 4503510.6
468339.3 4503314.9
468484.1 4503048.4
468601.0 4502458.8
468531.1 4502092.8
468907.9 4501618.4
468914.9 4501155.2
469374.1 4500381.9
469103.2 4500050.7
469028.6 4499750.8
469379.7 4499505.1
469926.3 4499449.9
470822.0 4499039.4
470675.9 4498638.3
470775.9 4498601.7
471343.0 4498440.3
471352.8 4498591.4
471498.6 4498599.1
471466.7 4498958.5
471901.6 4498788.1
472156.9 4498940.9
472335.3 4498911.5
472469.6 4499130.8
472741.5 4499268.2
472624.9 4499405.1
473211.6 4500173.4
473243.7 4500527.7
473464.7 4499923.8
472879.7 4499304.5
472715.5 4498915.2
472556.2 4498157.7
472626.4 4497700.4
471932.7 4497284.5
471449.1 4497233.6
471601.4 4497146.3
471582.7 4497006.5
472239.3 4496650.3
472791.4 4495754.7
472455.1 4495619.6
472485.3 4495522.0
471961.0 4494845.4
472118.0 4494697.8
472018.9 4494509.5
472269.0 4494287.4
472049.3 4494115.2
472223.0 4493833.4
472822.7 4493259.1
473250.3 4492634.9
473903.8 4492083.2
474381.9 4491988.8
474802.4 4491555.5
474917.2 4491644.9
475490.7 4491304.6
475732.1 4491349.4
475954.3 4490949.9
475695.0 4490526.9
476031.7 4490355.0
475587.6 4489800.1
475885.3 4489478.4
475751.9 4489304.9
476029.7 4488950.3
475855.9 4488580.0
475363.6 4488170.0
474837.2 4487462.0
475451.2 4486819.1
475900.3 4487255.1
476154.3 4487035.8
476218.1 4487176.0
476435.7 4487009.1
476715.6 4487014.2
476723.5 4487155.0
477053.9 4487230.0
477421.9 4487518.0
478075.6 4487726.7
478313.4 4487934.1
478683.9 4487945.2
478833.7 4488213.2
479505.8 4487315.1
480430.6 4486813.8
480521.1 4486876.6
480286.2 4487499.5
480426.1 4487618.7
480745.0 4487311.2
480788.0 4486846.5
481117.0 4486174.2
482432.9 4485448.1
483028.7 4484916.9
483141.8 4483706.8
482871.8 4482760.8
482994.8 4482628.8
483443.8 4480896.9
483030.8 4479452.9
483152.5 4478853.0
483000.5 4477317.4
483157.7 4476863.6
484962.9 4476520.4
485357.6 4476194.2
485663.5 4476473.9
486810.8 4476542.4
487196.7 4475602.2
487190.3 4475100.2
487460.0 4474782.4
487498.2 4474339.4
487945.9 4473547.2
488921.8 4472738.5
488620.6 4472135.7
488508.1 4471065.3
487833.6 4470781.0
487839.3 4470364.2
487981.4 4470287.3
488052.6 4469697.9
488260.7 4469449.3
487241.7 4469212.7
487309.7 4469023.6
486973.8 4468581.3
487215.6 4468265.5
487336.7 4467757.6
487823.6 4467517.6
487783.0 4466946.3
488011.3 4466796.9
488008.1 4466674.7
487556.1 4466600.8
487499.4 4466304.1
487318.0 4466249.8
487380.6 4466172.8
487228.2 4466192.4
487020.8 4465872.4
486784.0 4465780.0
487146.7 4465302.9
487011.4 4464572.1
486211.0 4464108.4
486228.3 4463968.5
485763.2 4463672.1
485038.3 4462848.8
484840.8 4462769.7
484461.8 4461988.8
